source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",The Editorial Board,A Warning to the Law Schools on Anti-Semitism,Major law firms tell deans to protect students and resist anti-Semitism.,https://www.wsj.com/articles/law-firms-letter-law-school-deans-anti-semitism-davis-polk-sullivan-and-cromwell-joe-shenker-0d00a49b,https://images.wsj.net/im-880662/social,2023-11-02T22:44:35Z,"The recent outbreak of open anti-Semitism on U.S. college campuses has been shocking, and it speaks to the anti-Western indoctrination that has been cultivated for decades at American universities. A… [+611 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",The Editorial Board,How Biden’s Inflation Reduction Act Killed a Cancer Study,Price controls made a therapy’s potential new application for bladder cancer uneconomic.,https://www.wsj.com/articles/seagen-david-epstein-cancer-drug-study-inflation-reduction-act-biden-price-controls-231ee740,https://images.wsj.net/im-880661/social,2023-11-02T22:34:00Z,"President Biden has set an ambitious and laudable goal of reducing cancer mortality by half within 25 years, yet the Inflation Reduction Act (IRA) is working at cross purposes with that goal. See Sea… [+604 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Klon Kitchen,AI Is a National-Security Danger,Biden’s executive order requires the industry to check its models for vulnerabilities to misuse. That’s a step in the right direction.,https://www.wsj.com/articles/ai-is-a-national-security-danger-biden-executive-order-ec50b88b,https://images.wsj.net/im-880089/social,2023-11-02T22:05:00Z,"Artificial intelligence poses threats to U.S. national security, and the Biden administration takes them seriously. On Oct. 30 the president signed a wide-ranging 
executive order on artificial inte… [+985 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",wsj,AMAZON Shutting Clothing Stores...,The two Style stores will become the latest Amazon bricks-and-mortar locations to close,https://www.wsj.com/business/retail/amazon-is-shutting-down-its-clothing-stores-0dcb967c,https://images.wsj.net/im-880474/social,2023-11-02T22:00:02Z,"Amazon Is Shutting Down Its Clothing StoresBy Nov. 2, 2023 4:49 pm ET
Amazon.com is closing its physical clothing stores, ending a brief attempt to bring its fashion offerings to bricks-and-mortar s… [+1013 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",John J. Miller,"'Weird Tales' Review: Ghoulishness, a Literary View","A pulp magazine that specialized in ‘gooseflesh fiction’ published Robert E. Howard, Ray Bradbury—and the future Tennessee Williams.",https://www.wsj.com/arts-culture/books/weird-tales-review-ghoulishness-a-literary-view-9ceabc3f,https://images.wsj.net/im-877314/social,2023-11-02T21:40:20Z,"An Egyptian queen once trapped hundreds of her subjects in an underground chamber and flooded it in retribution for the murder of her brother, according to a brief account by the ancient Greek histor… [+1004 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Erin Mulvaney,Top Law Firms Call for Universities to Tamp Down on Antisemitism,A group of firms warns deans to stop harassment and anti-Israel rallies on campuses,https://www.wsj.com/us-news/education/top-law-firms-call-for-universities-to-tamp-down-on-antisemitism-942a6609,https://images.wsj.net/im-880273/social,2023-11-02T18:29:09Z,"More than two dozen large law firms urged university deans to address 
antisemitic harassment, vandalism and assaults reported on college campuses in recent weeks.In a letter sent Wednesday, the law… [+488 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",wsj,"Wagner May Provide Weapon to Hezbollah, U.S. Intel Says...",Lebanese militant group could threaten a second front against Israel,https://www.wsj.com/world/russias-wagner-group-may-provide-air-defense-weapon-to-hezbollah-u-s-intel-says-37dc8f45,https://images.wsj.net/im-880194/social,2023-11-02T18:00:02Z,"WSJ News Exclusive | Russia’s Wagner Group May Provide Air Defense Weapon to Hezbollah, U.S. Intel SaysBy and Nov. 2, 2023 11:33 am ET
After the death of Wagner leader Yevgeny Prigozhin, the Kremlin… [+1184 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Liyan Qi,"Wu Zunyou, the Face of China’s Covid Controls, Dies at 60",Top epidemiologist’s difficult last job: explaining policies that brought many Chinese close to a breaking point,https://www.wsj.com/world/china/wu-zunyou-china-covid-controls-dies-at-60-a822541a,https://images.wsj.net/im-879780/social,2023-11-02T17:37:00Z,"Wu Zunyou, Chinas top epidemiologist, never wanted the spotlight, believing that a successful public-health professional should be invisible. His last role, as the face of Chinas draconian Covid-19 r… [+504 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",wsj,"IDF Moves to Cut Gaza in Two, Isolating North...","Troops moved closer to the center of Gaza City, backed by airstrikes and some gunfire from warships offshore",https://www.wsj.com/world/middle-east/israeli-forces-move-to-cut-gaza-in-two-isolating-the-north-0bdf8c2c,https://images.wsj.net/im-880056/social,2023-11-02T15:00:03Z,"Israeli Forces Move to Cut Gaza in Two, Isolating the NorthBy and Nov. 2, 2023 10:36 am ETTEL AVIV—Israeli forces were pushing across Gaza and in from the Mediterranean coast early Thursday, cutting … [+1165 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",wsj,Jurors in Bankman-Fried Trial Expected to Begin Deliberations...,Case expected to go to the jury after nearly a month of testimony,https://www.wsj.com/us-news/sam-bankman-fried-ftx-trial-jury-deliberations-4d6a0a56,https://images.wsj.net/im-880035/social,2023-11-02T14:00:02Z,"Jurors in Sam Bankman-Fried Trial Expected to Begin DeliberationsBy and Nov. 2, 2023 8:44 am ET
Jurors are expected to begin deliberating Thursday on whether FTX founder Sam Bankman-Fried is guilty … [+1085 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",wsj,Colorful New York Judge in Spotlight...,"Arthur Engoron, who played in a rock band and is promoting a screenplay, is deciding civil-fraud case against former president",https://www.wsj.com/us-news/law/from-taxi-driver-to-trump-case-colorful-new-york-judge-is-in-the-spotlight-3faee14f,https://images.wsj.net/im-877922/social,2023-11-02T14:00:02Z,"From Taxi Driver to Trump Case: Colorful New York Judge Is in the SpotlightNew York State Supreme Court Justice Arthur Engoron, an unconventional judge with a colorful background, is rounding out a 2… [+1300 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",wsj,Italy's Rumbling Supervolcano Has Half Million Residents on Edge...,"Campi Flegrei, not far from ill-fated Pompeii, has had 2,500 earthquakes since August",https://www.wsj.com/world/europe/italys-rumbling-supervolcano-has-half-a-million-residents-on-edge-6a1472af,https://images.wsj.net/im-879166/social,2023-11-02T12:00:03Z,"Italy’s Rumbling Supervolcano Has Half a Million Residents on EdgePOZZUOLI, Italy—Diners at restaurants around this tiny port streamed outside while moored boats and an eight-story crane began to swa… [+1002 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",wsj,Fake Nudes of Real Students Cause Uproar at NJ High School...,"After boys shared faked pornographic images made of female classmates, both the school and the local police began investigating",https://www.wsj.com/tech/fake-nudes-of-real-students-cause-an-uproar-at-a-new-jersey-high-school-df10f1bb,https://images.wsj.net/im-878723/social,2023-11-02T12:00:03Z,"Fake Nudes of Real Students Cause an Uproar at a New Jersey High SchoolBy Nov. 2, 2023 7:00 am ETWhen girls at Westfield High School in New Jersey found out boys were sharing nude photos of them in g… [+1008 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Sabela Ojea,Peloton Sales Fall as Paid Subscribers Declines,Apple and Starbucks earnings are in the limelight,https://www.wsj.com/livecoverage/stock-market-today-dow-jones-11-02-2023,https://images.wsj.net/im-876194/social,2023-11-02T11:26:42Z,"Peloton said revenue dropped last quarter as it continues to deal with declines in its subscriber base.
The fitness-equipment company posted a 3.4% drop in revenue, mainly driven by lower sales of i… [+367 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Jinjoo Lee,Why You Might Get Cheap Gas for Christmas,Refiners are selling gasoline for barely any profit at the moment,https://www.wsj.com/business/energy-oil/why-you-might-get-cheap-gas-for-christmas-a523649b,https://images.wsj.net/im-879586/social,2023-11-02T11:14:36Z,"Fueling up typically becomes cheaper in the winter months when people drive less. This year there is something extra weighing on U.S. gasoline.
Retail prices have come down about 9% over the past mo… [+242 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Christian Moess Laursen,Shell Launches $3.5 Bln Buyback After Earnings Rose on Higher Energy Prices,,https://www.wsj.com/business/energy-oil/shell-earnings-rose-on-higher-energy-prices-launches-3-5-bln-buyback-5ca6b1a6,https://images.wsj.net/im-863756/social,2023-11-02T07:47:00Z,"Shell launched a $3.5 billion share buyback program after third-quarter earnings rose on higher refining margins, oil prices and sales, but slightly missed market expectations.
The London-based comp… [+309 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Mauro Orru,Lufthansa’s Earnings Beat Forecasts After Strong Summer,,https://www.wsj.com/business/earnings/lufthansas-earnings-beat-forecasts-after-strong-summer-776c5a48,https://images.wsj.net/im-879942/social,2023-11-02T06:58:00Z,"Deutsche Lufthansa reported earnings ahead of analysts expectations for the third quarter after what it called a record summer, and said it expects demand for air travel to remain strong in the comin… [+525 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Lindsay Wise,Republican Senators Confront Tommy Tuberville Over Blocked Military Promotions,Republican Senators Confront Tommy Tuberville Over Blocked Military Promotionswsj.com,https://www.wsj.com/politics/policy/republican-senators-confront-tommy-tuberville-over-blocked-military-promotions-4c40c1ae,https://images.wsj.net/im-879827/social,2023-11-02T00:50:28Z,"WASHINGTONRepublican senators ran out of patience Wednesday night with Alabama Sen. 
Tommy Tubervilles monthslong hold on hundreds of military promotions.In a dramatic exchange, a group of Tubervill… [+368 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Jessica Toonkel,Disney to Pay Comcast’s NBCUniversal at Least $8.61 Billion for Its Stake in Hulu,Comcast exercised option to sell its minority stake in streaming service; complex negotiations over Hulu’s value are under way,https://www.wsj.com/business/media/disney-to-pay-comcasts-nbcuniversal-at-least-8-61-billion-for-its-stake-in-hulu-8ebeb25c,https://images.wsj.net/im-879600/social,2023-11-01T21:12:39Z,"Disney said Wednesday it expects to pay Comcasts NBCUniversal at least $8.61 billion for its stake in Hulu, as the companies 
continue complex negotiations over the future of the streaming video ser… [+331 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",David Uberti,Fed Pause Helps Treasury Yields Retreat and Stocks Climb,Gains accelerate after Jerome Powell says financial conditions have tightened,https://www.wsj.com/finance/stocks/global-stocks-markets-dow-news-11-01-2023-0470a33b,https://images.wsj.net/im-879641/social,2023-11-01T21:06:57Z,"Many investors on Wednesday looked to the Federal Reserve for hints about whether this autumns 
unusual ascent in Treasury yields would help finish Americas inflation fight. The central banks messag… [+459 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",wsj,George Santos Faces Expulsion Vote in House... Developing...,New York Republican who fabricated parts of personal story also faces fraud charges,https://www.wsj.com/politics/george-santos-faces-expulsion-vote-in-house-f1c2bd34,https://images.wsj.net/im-879250/social,2023-11-01T20:00:02Z,"George Santos Faces Expulsion Vote in HouseBy Nov. 1, 2023 2:36 pm ET
WASHINGTON—House lawmakers are set to vote as soon as Wednesday night on whether to expel Rep. George Santos (R., N.Y.), who mad… [+1181 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Sean Mclain,"Toyota Gives 9% Pay Bump to Most U.S. Auto-Factory Workers, Following UAW Gains in Detroit",Assembly-line workers at Toyota’s U.S. factories to earn about $34 an hour and reach top pay in half the time,https://www.wsj.com/business/autos/toyota-gives-most-of-its-u-s-auto-factory-workers-9-pay-bump-following-uaw-gains-in-detroit-123664ff,https://images.wsj.net/im-879524/social,2023-11-01T19:06:34Z,"Toyota Motor is giving most of its U.S. auto-factory workers a 9% pay bump and shortening the time it takes to reach the maximum pay, a sign that gains made by the United Auto Workers in Detroit are … [+367 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Lauren Thomas,"Six Flags, Cedar Fair Near Merger Deal",Agreement between two of the largest regional theme-park chains in the U.S. could be unveiled this week,https://www.wsj.com/business/deals/six-flags-cedar-fair-near-merger-deal-a0126686,https://images.wsj.net/im-879522/social,2023-11-01T18:05:00Z,"Six Flags is nearing a deal to merge with Cedar Fair Entertainment, a move that would combine two of the largest regional theme-park chains in the U.S.
An agreement could be finalized as soon as thi… [+264 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",wsj,"Not Just Golf. DOJ Very, Very Interested in Sports...",The biggest and most powerful leagues in the country are under unprecedented scrutiny from U.S. antitrust enforcers,https://www.wsj.com/sports/justice-department-antitrust-f5fa4f80,https://images.wsj.net/im-878907/social,2023-11-01T18:00:02Z,"It Isn’t Just Golf. The Justice Department Is Very, Very Interested in Sports.By , and Nov. 1, 2023 9:00 am ETIn January of this year, executives from the Big3 basketball league met with Justice Depa… [+1282 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Giulia Petroni,Wind Power Write-Downs Cast Shadow Over Industry Outlook,"Orsted is the latest renewable-energy company to book an impairment, with a $4 billion charge against its U.S. offshore portfolio",https://www.wsj.com/articles/wind-power-write-downs-cast-shadow-over-industry-outlook-578db3f7,https://images.wsj.net/im-879464/social,2023-11-01T17:15:00Z,"A wave of impairments is sweeping through the U.S. wind-energy sector amid high interest rates, inflation and supply-chain woes, forcing developers to put off projects and casting doubts over the ind… [+4794 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Paulo Trevisani,U.S. Oil Inventories Rise Amid Steady Production,"Commercial crude-oil stockpiles increased by 800,000 barrels",https://www.wsj.com/business/energy-oil/u-s-oil-inventories-rise-amid-steady-production-125b59ce,https://images.wsj.net/im-879407/social,2023-11-01T17:13:54Z,"U.S. oil inventories rose more than expected last week according to data released Wednesday by the Energy Information Administration, in a potential headwind for crude prices as markets try to recove… [+238 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Charley Grant,Paycom Software Stock Plunges After Earnings,Investors and markets await the Federal Reserve's interest-rate decision after the central bank concludes its meeting today. Fed Chair Jerome Powell is scheduled to speak at 2 p.m. ET. to announce the FOMC's plan to tamp down inflation further.,https://www.wsj.com/livecoverage/fed-meeting-interest-rate-decision-fomc-november-2023,https://images.wsj.net/im-879241/social,2023-11-01T13:52:57Z,"Its an ugly morning for Paycom Software shareholders.
The payroll and human resources technology company is down 37% Wednesday morning after reporting third-quarter results. The stock is the worst p… [+294 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Greg Ip,Economy Is Great. Why Are Americans in Such a Rotten Mood?,"Economy Is Great. Why Are Americans in Such a Rotten Mood?

 
 
 
 (Third column, 6th story, link)

 

 

 
 Related stories:The hidden culprit driving boarded-up storefronts...",https://www.wsj.com/economy/the-economy-is-great-why-are-americans-in-such-a-rotten-mood-6e1044d8,https://images.wsj.net/im-878916/social,2023-11-01T11:40:38Z,"Last week we learned that the economy, far from sliding toward recession as economists had predicted over the past year, 
has actually picked up steam thanks to indefatigable consumers.Not only has … [+316 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Scott Calvert,Why a 2023 Virginia Election Is Proving Ground for 2024...,"In state legislative races next week, both parties are testing their messaging ahead of presidential race",https://www.wsj.com/politics/elections/why-a-2023-virginia-election-is-a-proving-ground-for-2024-ae3bbbeb,https://images.wsj.net/im-878552/social,2023-11-01T11:40:37Z,"THE PLAINS, Va.For clues about the strength of both parties messages heading into 2024, look no further than this suburban Northern Virginia enclave, where Democrats and Republicans are betting big o… [+472 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Dominic Chopping,"Orsted Books $4 Billion in Impairments, Walks Away From Two U.S. Offshore Projects",,https://www.wsj.com/articles/orsted-books-4-bln-impairments-walks-away-from-two-us-offshore-projects-cd161488,https://images.wsj.net/im-707088/social,2023-11-01T09:11:00Z,Orsted booked a 28.4 billion Danish kroner ($4.02 billion) impairment charge in the third quarter related to its U.S. offshore wind portfolio and said it will stop development of two wind farm projec… [+4528 chars]
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Ian Walker,GSK PLC Raises Guidance After RSV Vaccine Lifts Earnings,,https://www.wsj.com/business/earnings/gsk-plc-raises-guidance-after-rsv-vaccine-lifts-earnings-ca7bd091,https://images.wsj.net/im-879141/social,2023-11-01T08:08:00Z,"GSK PLC raised its guidance after third-quarter net profit rose mainly due to the U.S. launch of its Arexvy vaccine, although it missed analysts forecasts.
The British pharmaceutical giant said Wedn… [+372 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",wsj,Dire Warnings About Maine Gunman Didn't Stop Rampage...,Last week’s massacre illustrates how many blind spots remain in the legal and mental health systems,https://www.wsj.com/us-news/maine-shooting-robert-card-warnings-3673548e,https://images.wsj.net/im-878483/social,2023-10-31T22:00:03Z,"Dire Warnings About Maine Gunman Didn’t Stop His RampageBATH, Maine—In the months before Robert Card carried out Maine’s deadliest mass shooting, those around him feared he was sinking deeper into a … [+1020 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",wsj,"Vatican Silence on Holocaust Was Shaped by Antisemitism and Caution, Archives Show...",New scholarship shows the Catholic Church under wartime Pope Pius XII gave priority to saving Jewish converts,https://www.wsj.com/world/vaticans-silence-on-holocaust-was-shaped-by-antisemitism-and-caution-archives-show-4e9ecc90,https://images.wsj.net/im-863997/social,2023-10-31T22:00:03Z,"Vatican’s Silence on Holocaust Was Shaped by Antisemitism and Caution, Archives ShowBy Updated Oct. 31, 2023 4:55 pm ET
ROME—For decades, controversy over why Pope Pius XII didn’t speak out against … [+977 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Alexander Gladstone, Akiko Matsuda, Andrew Scurria",WeWork Plans to File for Bankruptcy as Early as Next Week,"Once a venture capital-backed star with an astronomical valuation, the flexible-office-space provider is now preparing for chapter 11 protection",https://www.wsj.com/articles/wework-plans-to-file-for-bankruptcy-as-early-as-next-week-1fdcb6a5,https://images.wsj.net/im-878898/social,2023-10-31T20:24:00Z,"WeWork is planning to file for bankruptcy as early as next week, according to people familiar with the matter, in what would mark a stunning reversal for the flexible-office-space venture that was on… [+226 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Paul Berger,Yellow’s Rivals Are Getting a Boost From the Trucker’s Demise,Tighter capacity has been lifting freight rates in the less-than-truckload market,https://www.wsj.com/articles/yellows-rivals-are-getting-a-boost-from-the-truckers-demise-aab6c759,https://images.wsj.net/im-878494/social,2023-10-31T19:52:52Z,"The collapse of one of the largest U.S. trucking companies is propping up competitors in a lean freight market.
XPO, ABF Freight and Saia are among the carriers reporting strong growth in pricing po… [+331 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Katy Stech Ferek,Tuberville Pushes to Confirm Marines’ No. 2 After Commandant Hospitalized,Tuberville Pushes to Confirm Marines’ No. 2 After Commandant Hospitalizedwsj.com,https://www.wsj.com/politics/policy/tuberville-pushes-to-confirm-marines-no-2-after-commandant-hospitalized-feaade86,https://images.wsj.net/im-878706/social,2023-10-31T17:38:37Z,"WASHINGTONSen. Tommy Tuberville, who has held up hundreds of military promotions, is asking his colleagues to support an effort to quickly confirm Lt. Gen. Christopher Mahoney as second-in-command to… [+505 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",David Wainer,"Never Mind Covid, Investors Want a Pfizer Obesity Pill",The pharmaceutical company’s silence on oral obesity drug worries investors,https://www.wsj.com/health/pharma/nevermind-covid-investors-want-a-pfizer-obesity-pill-18f6a9e5,https://images.wsj.net/im-877521/social,2023-10-31T16:55:37Z,"Some of this years best performers in the healthcare sector are companies expected to profit from the anti-obesity drug craze, with Eli Lilly and Novo Nordisk shares both up more than 40% each. Much … [+1229 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Heather Somerville,The Latest Tech Caught in the U.S.-China Trade War: Lasers,Chinese lidar maker Hesai is fighting concerns about the technology that is crucial for next-generation vehicles and weapons,https://www.wsj.com/tech/the-latest-tech-caught-in-the-u-s-china-trade-war-lasers-64d582c0,https://images.wsj.net/im-877947/social,2023-10-31T14:36:17Z,"Hesai Group, a Shanghai-based maker of laser sensors used for next-generation vehicles, celebrated 
a Nasdaq stock offering in February that was heralded by some as a comeback for Chinese listings i… [+359 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",wsj,Dems Risk Long-Lasting Rift Over Israel-Hamas War...,Pro-Israel and pro-Palestinian liberal factions now divided as ugly accusations fly in both directions,https://www.wsj.com/politics/democrats-risk-long-lasting-rift-over-israel-hamas-war-ec74044f,https://images.wsj.net/im-878091/social,2023-10-31T12:00:02Z,"Democrats Risk Long-Lasting Rift Over Israel-Hamas WarBy Oct. 31, 2023 5:00 am ET
Protesters gathered in Tel Aviv on Wednesday as President Biden and Israeli Prime Minister Benjamin Netanyahu met in… [+1249 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Dan Gallagher,APPLE's Dark Cloud Might Linger...,Worries about China and the future of a lucrative Google relationship could outlast even a strong earnings report,https://www.wsj.com/tech/apples-dark-cloud-might-linger-0af5cb19,https://images.wsj.net/im-878259/social,2023-10-31T11:13:37Z,"Winter has come early for Apple, and it might last a while. 
The worlds largest company by market value has become worth considerably less over the past three months. Apples share price has slid 11%… [+378 chars]"
"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Dean Seal,Caterpillar Stock Falls on Weak Outlook,Pfizer and Caterpillar are among the earnings in the spotlight,https://www.wsj.com/livecoverage/stock-market-today-dow-jones-10-31-2023,https://images.wsj.net/im-876130/social,2023-10-31T11:11:11Z,"Shares of Caterpillar fell in premarket trading after the construction-equipment maker issued an underwhelming sales outlook for the current fourth quarter.
The view came after Caterpillar posted hi… [+208 chars]"
